date,hits_hour,visits,newvisits,transactions
20140731,3,892,506,7
20140731,4,611,347,8
20140731,5,561,314,4
20140731,6,790,387,7
20140731,7,1808,857,8
20140731,8,3798,1534,28
20140731,9,6426,2411,42
20140731,10,7550,2779,33
20140731,11,8276,3048,35
20140731,12,8402,3196,41
20140731,13,8442,3246,34
20140731,14,7317,2878,15
20140731,15,7346,2903,15
20140731,16,8116,3364,21
20140731,17,9462,4119,56
20140731,18,8308,3401,76
20140731,19,7423,3178,86
20140731,20,7260,3078,55
20140731,21,7088,3075,68
20140731,22,7346,3071,88
20140731,23,6637,2941,33
20140801,0,5081,2324,51
20140801,1,2781,1341,22
20140801,2,1597,759,7
20140801,3,914,496,4
20140801,4,565,327,2
20140801,5,566,309,1
20140801,6,860,450,4
20140801,7,1775,837,11
20140801,8,3787,1556,20
20140801,9,5960,2274,44
20140801,10,7528,2844,88
20140801,11,7885,2829,88
20140801,12,8150,3170,108
20140801,13,7781,3032,77
20140801,14,7207,2920,66
20140801,15,6820,2744,70
20140801,16,7241,2806,83
20140801,17,6984,2903,88
20140801,18,6263,2654,62
20140801,19,5943,2610,79
20140801,20,5977,2643,58
20140801,21,5853,2516,66
20140801,22,5965,2561,66
20140801,23,5483,2488,32
20140802,0,4692,2192,44
20140802,1,2863,1396,20
20140802,2,1647,853,5
20140802,3,962,505,9
20140802,4,622,341,2
20140802,5,509,287,5
20140802,6,656,352,4
20140802,7,1161,578,5
20140802,8,2545,1113,17
20140802,9,3862,1579,24
20140802,10,4936,1956,39
20140802,11,5534,2188,46
20140802,12,5667,2293,39
20140802,13,5731,2339,53
20140802,14,5281,2103,37
20140802,15,5070,2114,33
20140802,16,5079,2220,43
20140802,17,4772,2072,35
20140802,18,4874,2104,27
20140802,19,5043,2232,41
20140802,20,4905,2120,43
20140802,21,5057,2194,41
20140802,22,4862,1946,39
20140802,23,4621,1952,12
20140803,0,4530,2140,33
20140803,1,2762,1333,10
20140803,2,1462,790,10
20140803,3,947,501,4
20140803,4,594,307,4
20140803,5,477,256,2
20140803,6,509,312,6
20140803,7,986,533,5
20140803,8,1862,870,6
20140803,9,3162,1522,32
20140803,10,3664,1576,37
20140803,11,4366,1792,64
20140803,12,4665,1965,66
20140803,13,5167,2238,75
20140803,14,5110,2125,61
20140803,15,4980,2088,91
20140803,16,4873,2161,89
20140803,17,5595,2332,129
20140803,18,6377,2631,64
20140803,19,6320,2603,66
20140803,20,6619,2584,95
20140803,21,7015,2719,90
20140803,22,7020,2740,109
20140803,23,6163,2530,65
20140804,0,4896,2210,144
20140804,1,2811,1332,15
20140804,2,1610,806,8
20140804,3,883,484,6
20140804,4,607,330,3
20140804,5,499,242,4
20140804,6,850,462,
20140804,7,1906,959,5
20140804,8,4137,1697,21
20140804,9,6963,2521,36
20140804,10,8490,3023,64
20140804,11,9152,3300,60
20140804,12,9241,3226,74
20140804,13,7871,2882,68
20140804,14,8772,3366,90
20140804,15,8803,3311,78
20140804,16,9085,3459,73
20140804,17,8888,3432,73
20140804,18,8477,3357,61
20140804,19,8205,3276,54
20140804,20,7997,3153,45
20140804,21,8055,3091,65
20140804,22,8325,3244,56
20140804,23,6821,2729,42
20140805,0,4769,1881,43
20140805,1,2410,1053,14
20140805,2,1165,526,12
20140805,3,729,351,10
20140805,4,422,192,3
20140805,5,477,244,1
20140805,6,825,425,2
20140805,7,1624,690,4
20140805,8,4319,1624,19
20140805,9,7298,2501,25
20140805,10,8315,2807,57
20140805,11,9199,3275,78
20140805,12,9596,3407,64
20140805,13,8208,2623,39
20140805,14,6859,2104,49
20140805,15,6627,2058,54
20140805,16,7068,2132,54
20140805,17,6573,2610,65
20140805,18,6731,2870,54
20140805,19,6633,2939,58
20140805,20,6096,2560,57
20140805,21,6724,2861,55
20140805,22,6946,2936,58
20140805,23,6105,2573,35
20140806,0,3991,1772,50
20140806,1,2238,1012,14
20140806,2,1164,523,8
20140806,3,921,475,5
20140806,4,548,313,10
20140806,5,455,237,1
20140806,6,705,383,2
20140806,7,1548,796,5
20140806,8,3599,1674,27
20140806,9,6124,2505,57
20140806,10,7150,2705,78
20140806,11,8184,3219,81
20140806,12,8454,3338,86
20140806,13,7890,3033,70
20140806,14,7355,2814,73
20140806,15,7628,3022,92
20140806,16,7716,2995,56
20140806,17,8167,3416,85
20140806,18,7412,3085,57
20140806,19,7056,2941,40
20140806,20,6997,3053,37
20140806,21,6835,2973,56
20140806,22,6837,2899,43
20140806,23,6134,2725,31
20140807,0,4601,2125,25
20140807,1,2612,1330,8
20140807,2,1383,742,7
20140807,3,779,425,4
20140807,4,495,285,4
20140807,5,454,249,3
20140807,6,813,443,2
20140807,7,1648,840,8
20140807,8,3692,1622,26
20140807,9,6414,2637,33
20140807,10,8161,3667,58
20140807,11,7078,3139,76
20140807,12,7872,3393,63
20140807,13,7448,3284,60
20140807,14,6887,3042,58
20140807,15,6904,3078,46
20140807,16,7264,3142,69
20140807,17,7153,3207,50
20140807,18,6971,3227,58
20140807,19,6661,3283,52
20140807,20,6248,3002,43
20140807,21,6139,2834,50
20140807,22,6322,2968,44
20140807,23,5839,2737,21
20140808,0,4829,2410,43
20140808,1,2506,1304,16
20140808,2,1417,782,15
20140808,3,860,477,4
20140808,4,580,327,2
20140808,5,561,299,2
20140808,6,902,497,4
20140808,7,1694,865,18
20140808,8,3251,1538,26
20140808,9,4985,2164,59
20140808,10,6112,2592,64
20140808,11,6766,2969,72
20140808,12,6876,3122,76
20140808,13,6960,3048,76
20140808,14,6626,3146,78
20140808,15,6301,2927,71
20140808,16,6633,3073,60
20140808,17,6746,3390,45
20140808,18,5971,2769,47
20140808,19,4900,2248,48
20140808,20,4627,2153,44
20140808,21,4609,2161,31
20140808,22,4858,2203,37
20140808,23,4516,2192,32
20140809,0,3925,1968,25
20140809,1,2432,1291,10
20140809,2,1327,753,6
20140809,3,907,511,8
20140809,4,570,345,6
20140809,5,499,287,
20140809,6,709,412,1
20140809,7,1200,647,8
20140809,8,2194,1149,15
20140809,9,3168,1562,27
20140809,10,3948,1857,38
20140809,11,4740,2251,42
20140809,12,5185,2350,52
20140809,13,4969,2340,46
20140809,14,4835,2327,35
20140809,15,4510,2214,23
20140809,16,4606,2244,26
20140809,17,4548,2241,29
20140809,18,4577,2258,41
20140809,19,4690,2411,40
20140809,20,4407,2153,36
20140809,21,4773,2328,52
20140809,22,4795,2323,37
20140809,23,4616,2333,32
20140810,0,4199,2191,38
20140810,1,2937,1607,15
20140810,2,1826,1050,7
20140810,3,995,594,5
20140810,4,624,385,5
20140810,5,546,313,1
20140810,6,525,302,2
20140810,7,900,538,4
20140810,8,1606,896,13
20140810,9,2446,1330,22
20140810,10,3325,1680,32
20140810,11,3856,1971,25
20140810,12,4246,2057,33
20140810,13,4347,2119,46
20140810,14,4234,2069,51
20140810,15,4044,1950,30
20140810,16,4351,2122,39
20140810,17,4408,2198,38
20140810,18,4559,2281,43
20140810,19,4578,2254,50
20140810,20,4869,2296,48
20140810,21,5150,2488,61
20140810,22,5438,2645,39
20140810,23,4626,2284,35
